filename,actual_caption,generated_caption,BERT_f1_score
path\to\your\images\10384.png,"Noise can be detected on the top-right side of the area. Turbulent mixing effect can be detected on the top-left, top-right and central side of the region. A dyke-type deformation pattern of low intensity can be detected on the bottom-left side of the region.  ",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.839033246
path\to\your\images\9585.png,Noise can be detected on the central and bottom side of the area. Vertical stratification effect can be detected on the bottom-right and central-left side of the region. A turbulent mixing effect can also be detected on the bottom-left side. A sill-type deformation pattern of low intensity can be detected on the bottom-right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.885209143
path\to\your\images\288.png,Vertical stratification effect is detected on the right side of the image. A turbulent mixing effect can be detected on the wider area. A dyke-type deformation pattern of medium intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the top and top - left side of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.866936326
path\to\your\images\666.png,Turbulent mixing effect of high intensity is detected on the top side and center of the region with lower intensity on the bottom left. A sill-type deformation pattern of medium intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.816429913
path\to\your\images\1113.png,"Turbulent mixing effect can be detected on the top, central,left and bottom-left side of the region. A sill-type deformation pattern of low intensity is detected at the bottom of the image.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.831936359
path\to\your\images\1274.png,"Vertical stratification effect of low intensity can be detected on the central, left and bottom-left side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.881948233
path\to\your\images\6272.png,"Noisy areas caused by low coherence can be detected on the rightmost and top-left side of the region. Vertical stratification effect can be detected on the top-left and central side of the region. Three deformation patterns can be detected on the central and right side. A sill-type of low intensity can be detected close to the center, a dyke-type of medium intensity on the right, and a sill-type of the high intensity on the rightmost. ",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.792417526
path\to\your\images\856.png,Turbulent mixing effect of low intensity can be detected on the top and left side of the region. A sill-type deformation pattern of high intensity can be detected at the bottom of the image.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.867474914
path\to\your\images\6534.png,Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected on the wider area of the region. A sill-type deformation pattern of medium intensity can be detected on the right side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.836986601
path\to\your\images\9316.png, An image artifact is detected on the bottom of the image. Turbulent mixing effect can be detected on the wider area of the region. An unidentified deformation pattern of high intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.843311131
path\to\your\images\832.png,Turbulent mixing effect is detected on the top and left side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.871888816
path\to\your\images\8907.png,Turbulent mixing effect can be detected on the bottom-right and top-left side of the region. A dyke-type deformation pattern of high intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.892799675
path\to\your\images\10381.png,Noise can be detected on the top-right side of the area. Vertical stratification effect of low intensity can be detected on the central side of the region. A dyke-type deformation pattern of low intensity can be detected on the bottom-left side of the region.  ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.869234264
path\to\your\images\7092.png,Vertical stratification effect can be detected on the wider area of the region. Turbulent mixing effect can be detected on the top-left side of the region. A dyke-type deformation pattern of high intensity can be detected on the central-right side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.883119583
path\to\your\images\934.png,Wave-like patterns can be detected on the downside of the region. Vertical stratification effect is also detected on the high altitude areas. A sill-type deformation pattern of medium intensity can be detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.91497308
path\to\your\images\16939.png,Vertical stratification effect can be detected on the left side of the region. A sill-type deformation pattern of high intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.875831604
path\to\your\images\5780.png,Turbulent mixing effect of low intensity can be detected on the wider area. A dyke-type deformation pattern of high intensity can be detected on the top side of the image. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the top - right side. a dyke - type deformation pattern of high intensity can be detected on the top side of the image.,0.875459135
path\to\your\images\6410.png,"Noisy areas caused by low coherence can be detected on the rightmost and top-left side of the region. Vertical stratification effect can be detected on the wider area of the region. Turbulent mixing effect can also be detected on the bottom-left side. Three deformation patterns can be detected on the central and right side. A sill-type of low intensity can be detected close to the center, a dyke-type of medium intensity on the right, and a sill-type of low intensityon the rightmost. ",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.814592123
path\to\your\images\16097.png,Vertical stratification and turbulent mixing effects can be detected around the area. No deformation activity can be detected. The image has a processing error related to swath merging. Missing information.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.661718667
path\to\your\images\16792.png,Turbulent mixing effect can be detected on the wider area. A sill-type deformation pattern of medium intensity can be detected on the central side of the region.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.842383265
path\to\your\images\7108.png,Turbulent mixing effect can be detected on the wider area of the region. Vertical stratification effect can be detected on the central and top-left side. A mogi-type deformation pattern of medium intensity can be detected on the central-right side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.852252185
path\to\your\images\129.png,"Vertical stratification caused by atmospheric delays can be detected in high altitude  areas. Also, noisy areas can be detected due to low coherence. No deformation activity can be detected. The image has a processing error related to swath merging. Missing information.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.707855642
path\to\your\images\9490.png,Noise can be detected on the top-rigth and right area. Vertical stratification effect can be detected on the bottom-right and central-left side of the region. A sill-type deformation pattern of low intensity can be detected on the bottom-right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.848635674
path\to\your\images\6468.png,"Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected on the wider area of the region. A wave-like pattern caused by atmospheric delays can be detected on the central-left side of the region. Vertical stratification effect can be detected on the high altitude areas. Three deformation patterns can be detected on the central and right side. A sill-type of medium intensity can be detected close to the center, a mogi-type of medium intensity on the right and a sill-type of medium intensity on the rightmost.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.792345226
path\to\your\images\1938.png,Turbulent mixing effect can be detected on the central and left side of the region. A mogi-type deformation pattern of medium intensity is detected in top-right side of the region.  ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.88463974
path\to\your\images\12958.png,Noise can be detected on the wider left side of the image. Turbulent mixing effect can be detected on the wider right and bottom side of the region. Two deformation patterns can be detected on the central side of the region. One sill-type of low intensity in the upper and one sill-type of low intensity at the bottom.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.795991659
path\to\your\images\859.png,Vertical stratification effect of low intensity can be detected in high altitude areas. A sill-type deformation pattern of high intensity can be detected at the bottom of the image.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.938127816
path\to\your\images\1953.png, A mogi-type deformation pattern of low intensity is detected in top-right side of the region. The atmospheric impact is low.  ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.756274581
path\to\your\images\10573.png,Noise can be detected on the top-left side. Vertical stratification effect can be detected on the top and top-left side of the region. A dyke-type deformation pattern of medium intensity can be detected on the bottom-left side. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.853140175
path\to\your\images\2889.png,Noise is covering the wider area of the region due to low coherence. It is difficult to detect an atmospheric impact due to low coherence. A mogi-type deformation pattern of low intensity is detected on the central of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.733772993
path\to\your\images\6621.png,Noise caused by low coherence can be detected on the top-left and central right side. Turbulent mixing effect can be detected in wider area of the region. Two deformation patterns can be detected on the right side. A mogi-type of medium intensity can be detected on the leftmost and a sill-type of medium intensity on the rightmost.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.774708569
path\to\your\images\10421.png,Noise can be detected on the top-right side of the area. Turbulent mixing effect can be detected on the top-left side of the region. Vertical stratification effect is also detected on the central side. A dyke-type deformation pattern of low intensity can be detected on the bottom-left side of the region. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.783008337
path\to\your\images\1053.png,A turbulent mixing effect can be detected on the top and bottom-left side of the region. A sill-type deformation pattern of medium intensity can be detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.85762167
path\to\your\images\10471.png,Noise can be detected on the top-right side of the area. Vertical stratification effect can be detected on the central and central-left side of the region. Two deformation patterns can be detected on the bottom-left side of the region. A sill-type of low intensity in the upper and a mogi-type of low intensity in the bottom side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.819604218
path\to\your\images\9324.png,"Noise can be detected on the wider the area. Turbulent mixing effect can be detected on the bottom-left, left and bottom-right side of the region. An unidentified deformation pattern of high intensity can be detected on the bottom-right side of the region.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.805020511
path\to\your\images\1756.png,"Vertical stratification effect can be detected on the top, top-right and left side of the region. Turbulent mixing effect can also be detected on the left, central and bottom-right side of the region. A dyke-type deformation pattern of high intensity is detected in top-right side of the region.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.893055677
path\to\your\images\8916.png,Noise can be detected on the wider area of the region. Turbulent mixing effect can be detected on the bottom-right and top-right side of the region. A sill-type deformation pattern of high intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top - left side of the region. turbulent mixing effect can also be detected on the central and bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.884592414
path\to\your\images\963.png,Turbulent mixing effect can be detected on the top side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.894742489
path\to\your\images\673.png,Vertical stratification effect is detected on the high altitude areas of the region. A sill-type deformation pattern of high intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.969227433
path\to\your\images\8910.png,Turbulent mixing effect can be detected on the bottom-right and central side of the region. A dyke-type deformation pattern of high intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top - left side of the region. turbulent mixing effect can also be detected on the central and bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.900479198
path\to\your\images\1087.png,A sill-type deformation pattern of low intensity can be detected on the downside of the image. The atmosphericimpact is low.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.786448002
path\to\your\images\6160.png,Noisy areas caused by low coherence can be detected on the central-right side of the region. Turbulent mixing effect can be detected on the wider area of the region. Two dyke-type deformation patterns of high intensity and one mogi-type of medium intensity can be detected on the right side of the region. The noise which is located in the deformation zones is caused by the high displacement intensity. A deformation pattern caused by an earthquake can also be detected on the right side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.766654134
path\to\your\images\12941.png,Noise can be detected on the wider left and central side of the image. Turbulent mixing effect can be detected on the wider right side. A sill-type deformation pattern of medium intensity can be detected on the central side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.857859433
path\to\your\images\9560.png,Noise can be detected on the bottom-side of the area. Turbulent mixing effect can be detected on the bottom-right and central side of the region. An unidentified deformation pattern of low intensity can be detected on the bottom-right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.846536338
path\to\your\images\6456.png,"Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected on the top-left side of the region. Vertical stratification effect can also be detected on the central and top-left side. Three deformation patterns can be detected on the central and right side. A sill-type of low intensity can be detected close to the center, a sill-type of low intensity on the right and a sill-type of medium intensity on the rightmost.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.815255642
path\to\your\images\6465.png,Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected on the wider area of the region. A wave-like pattern caused by atmospheric delays can be detected on the central-left side of the region. Vertical stratification effect can be detected on the central area. Two deformation patterns can be detected on the central and right side. A sill-type of low intensity can be detected close to the center  and a sill-type of low intensity on the rightmost.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.81176722
path\to\your\images\16811.png,Noise can be detected on the central area. Turbulent mixing effect can be detected on the left side of the region. A sill-type deformation pattern of low intensity can be detected on the central side.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.816605747
path\to\your\images\713.png,Vertical stratification effect is detected in high altitude areas of the region. A sill-type deformation pattern of medium intensity is detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.948888004
path\to\your\images\12874.png,Noise can be detected on the wider left side of the image. Turbulent mixing effect can also be detected on the bottom-right side. A mogi-type deformation pattern of low intensity can be detected on the upper-central side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.921147943
path\to\your\images\3956.png,Turbulent mixing effect is detected on the right and left side of the region. A dyke-type deformation pattern of high intensity is detected at the topmost-left side of the image. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a mogi - type deformation pattern of low intensity can be detected on the central - right side.,0.824982345
path\to\your\images\2092.png,Vertical stratification effect can be detected on the top and top-right side of the region. Turbulent mixing effect is also detected on the wider area. No deformation activity can be detected. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.850381196
path\to\your\images\6942.png,Turbulent mixing effect can be detected on the wider area of the region. Vertical stratification effect of low intensity can be detected on the central and top-left side. A mogi-type deformation pattern of medium intensity can be detected on the central-right side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.843944311
path\to\your\images\6533.png,Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected on the wider area of the region. A vertical stratification effect can be detected on the central and top-left side of the region. A dyke-type deformation pattern of medium intensity can be detected on the right side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.842225313
path\to\your\images\1070.png,Vertical stratification effect can be detected on the high altitude areas of the region. A sill-type deformation pattern of medium intensity can be detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.992214024
path\to\your\images\720.png,Turbulent mixing effect is detected on the top and left side of the region. A sill-type deformation pattern of medium intensity is detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.846268535
path\to\your\images\9328.png,Noise can be detected on the wider the area. Turbulent mixing effect can be detected on the left and bottom-right side of the region. An unidentified deformation pattern of high intensity can be detected on the bottom-right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.817590237
path\to\your\images\16898.png,Noise can be detected on the central side. Turbulent mixing effect can be detected on the right and left side of the region. A sill-type deformation pattern of high intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.790976107
path\to\your\images\6628.png,Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected in wider area of the region. A wave-like pattern can be detected on the central side of the region. Two deformation patterns can be detected on the right side. A sill-type of low intensity can be detected on the leftmost and a sill-type of high intensity on the rightmost.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.806751788
path\to\your\images\6423.png,"Noisy areas caused by low coherence can be detected on the rightmost and top-left side of the region. Vertical stratification effect can be detected on the high altitude areas of the region. Turbulent mixing effect can also be detected on the bottom-left, central and bottom-rigth side. Two deformation patterns can be detected on the central and right side. A sill-type of low intensity can be detected close to the center and a sill-type of the medium intensity on the rightmost. ",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.804155767
path\to\your\images\678.png,Turbulent mixing effect is detected on the top and the bottom-left side of the region. A sill-type deformation pattern of medium intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.837891161
path\to\your\images\919.png," Turbulent mixing effect can be detected on the top and the bottom side of the region. Two deformation patterns can be detected. A mogi-type of high intensity is located at the bottom and a mogi-type of low intensity is located in the central-left side of the image, respectively.  Noise can be detected on the deformation zone due to the high displacement intensity.  ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.722419024
path\to\your\images\2402.png,Noise is covering the left side of the region due to low coherence. Turbulent mixing effect is detected on the top and central side of the region. Vertical stratification effect is also detected on the high altitude areas at the central and top-right side. A mogi-type deformation pattern of low intensity is detected on the central of the image.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.861790776
path\to\your\images\9117.png,Turbulent mixing effect can be detected on the wider area of the region. A dyke-type deformation pattern of medium intensity can be detected on the bottom-right side of the region.  ,vertical stratification effect can be detected on the top - left side of the region. turbulent mixing effect can also be detected on the central and bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.853252888
path\to\your\images\9522.png,Turbulent mixing effect can be detected on the wider area of the region. A sill-type deformation pattern of high intensity can be detected on the bottom-right side of the region.  ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a mogi - type deformation pattern of low intensity can be detected on the central - right side.,0.855421245
path\to\your\images\6215.png,Noisy areas caused by low coherence can be detected on the central-right side of the region. Vertical stratification effect can be detected on the central side of the region. Turbulent mixing effect can also be detected on the top-left and bottom-left side. Two deformation patterns can be detected on the right side. A dyke-type of high intensity on the leftmost and sill-type of high intensity on the rightmost. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.816455722
path\to\your\images\2998.png,"Noise is covering the wider central and left side of the region due to low coherence. Turbulent mixing effect is detected on the top, bottom, top-right and central side of the region. A dyke-type deformation pattern of high intensity is detected on the central of the image.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.726927102
path\to\your\images\880.png,Turbulent mixing effect can be detected in top and left side of the region. A sill-type deformation pattern of high intensity can be detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.8724612
path\to\your\images\848.png,Turbulent mixing effect is detected on the top side of the region. A sill-type deformation pattern of medium intensity is detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.856901228
path\to\your\images\1855.png,A turbulent mixing effect can be detected on the wider area of the region. A mogi-type deformation pattern of low intensity is detected in top-right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.844567537
path\to\your\images\5775.png,Vertical stratification effect can be detected on the high altitude areas of the region. A dyke-type deformation pattern of high intensity can be detected on the top side of the image.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the top side. a dyke - type deformation pattern of high intensity can be detected on the top side of the image.,0.908584893
path\to\your\images\13110.png,A sill-type deformation pattern of low intensity can be detected on the central-top side of the region. The atmospheric impact is low. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.768285751
path\to\your\images\128.png,Noisy areas can be detected due to low coherence. No deformation activity can be detected. The image has a processing error related to swath merging. Missing information.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.637771249
